jogador;time;oponente;mapa;data;kills;deaths;kd_diff;adr;kast;rating;vitoria
molodoy;FURIA;G2;Inferno;26/07/2025;15;9;6;66.2;85.7;1.09;N
molodoy;FURIA;G2;Dust2;26/07/2025;16;16;0;75.0;58.3;0.97;N
molodoy;FURIA;Astralis;Inferno;27/07/2025;11;6;5;62.9;81.2;1.34;S
molodoy;FURIA;Astralis;Dust2;27/07/2025;10;5;5;58.1;70.6;1.30;S
molodoy;FURIA;Falcons;Train;28/07/2025;7;16;-9;45.1;50.0;0.49;N
molodoy;FURIA;Falcons;Mirage;28/07/2025;16;13;3;64.5;75.0;1.09;S
molodoy;FURIA;Falcons;Dust2;28/07/2025;20;11;9;101.0;65.0;1.70;S
molodoy;FURIA;G2;Dust2;29/07/2025;15;8;7;60.6;78.9;1.26;S
molodoy;FURIA;G2;Inferno;29/07/2025;31;13;18;97.5;83.3;1.66;S
molodoy;FURIA;MOUZ;Train;01/08/2025;28;22;6;74.7;68.6;1.22;N
molodoy;FURIA;MOUZ;Mirage;01/08/2025;20;11;9;84.9;95.7;1.36;S
molodoy;FURIA;MOUZ;Inferno;01/08/2025;20;12;8;59.0;79.2;1.09;N
